,location,title,company,salary,summary,rating
0,"Bengaluru, Karnataka",Data Scientist,Applied Materials Inc.,"₹5,26,846 - ₹17,85,107 a year","
Acquire, cleanse, organize and mine massive volumes of data (sensor/system log) using custom scripts Learn, understand and apply customer data in statistical…
",3.9
1,"Bengaluru, Karnataka",Senior Data Scientist,CORESTRAT LABS PRIVATE LIMITED,"₹30,00,000 a year","
Collaborate to enhance data infrastructure and build a seamless research platform.
Deliver real impact to the product through rigorous data-driven solutions.
",
2,"Noida, Uttar Pradesh",Tech Mahindra hiring for Data Scientist - Noida,Tech Mahindra,"₹4,00,000 - ₹16,00,000 a year","
Data scientist: 3 years (Required).
Python, Machine learning, Deep Learning, Natural Language Processing (NLP), Predictive analytics, Due Diligence, Proof of…
",
3,"Bengaluru, Karnataka",newData Scientist,Happay,"₹8,00,000 - ₹12,00,000 a year","
1-2 Years as a data scientist, machine learning engineer, data analyst.
You must be highly comfortable with data manipulation and will be required to write data…
",
4,"Chennai, Tamil Nadu+1 location",newAssociate Data Scientist,Shell,,"
Gathers data, analyses and reports findings.
Gathers data using existing formats and will suggest changes to these formats.
",3.9
5,"Bengaluru, Karnataka",Data Scientist - SQL Queries,Talent500,,"
You execute deep & complex quantitative analyses that translate data into actionable insights.
As a Lead Business Analyst, you are expected to have a top-down…
",
6,"Chennai, Tamil Nadu",newClinical Data Scientist,Pfizer,,"
Ensure operational excellence in collaboration with partners for application of standards, data acquisition, proactive data review and data integrity monitoring…
",4.2
7,"Chennai, Tamil Nadu",Senior Data scientist,ZF,,"
Identify and propose data driven insights from automotive data which can help business to add value to ZF’s customers for existing products.
",3.9
8,"Bengaluru, Karnataka",Data Scientist,Great Learning,"₹10,00,000 a year","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7
9,"Bengaluru, Karnataka",newData Scientist,ResultsCX,,"
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Knowledge using statistical computer languages (R, Python, SQL, etc.)…
",
10,"Bengaluru, Karnataka+1 location",newData Scientist,Shell,,"
Passion for data with strong analytical mindset and focus on drilling data for commercial insight.
Must quickly mine data sources, analyze large datasets,…
",3.9
11,"Bengaluru, Karnataka",newClinical Data Management Scientist,Accenture,,"
You will be expected to manage & review data generated through manual or programmed listings including, but not limited to all external data sources and SAEs.
",4.0
12,"Gurgaon, Haryana",newJunior Data Scientist,momspresso,"₹10,00,000 - ₹20,00,000 a year","
Develop custom data models and algorithms to apply to data sets.
Technical expertise with data models, data mining, and segmentation techniques.
",
13,"Hyderabad, Telangana+1 location",newData & Applied Scientist,Microsoft,,"
Work closely with other data scientists and data engineers to deploy models that drive cloud infrastructure capacity planning.
",4.2
14,"Temporarily Remote in Bengaluru, Karnataka",newData Scientist,Visa,,"
Experience with extracting and aggregating data from large data sets using Presto, Hive or other tools.
Deep knowledge of data science models.
",3.9
15,"Mumbai, Maharashtra",newData Scientist,Zepto,,"
Basic SQL with ability to fetch, transform data tables.
Design and run data backed experiments to improve process efficiency and create systems to capture them.
",
16,"Bengaluru, Karnataka",DATA SCIENTIST DEMAND FORECASTING,Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
3-6 years of experience independent projects outside coursework in time series forecasting, demand planning, pricing analytics, causality, promotions effect, AI…
",
17,"Chennai, Tamil Nadu",Data Scientist,"BSRI Solutions Pvt Ltd.,","₹8,00,000 - ₹15,00,000 a year","
Understands the requirements from project teams, processes appropriate data sets, generates insightful reports, develops appropriate wireframes/visualization…
",
18,"Pune, Maharashtra",newAssociate Data Scientist,NielsenIQ,,"
You’ve built a decent track record in research and data analytics.
In this role, you’ll have the chance to roll up your sleeves and apply data science methods…
",3.4
19,"Chennai, Tamil Nadu","newManager, Senior Clinical Data Scientist, Clinical Data Scien...",Pfizer,,"
Act as the key scientific and technical data management expert; may define and drive the data management strategy and standards for the Therapeutic Areas (TA)…
",4.2
20,Remote,newData Scientist,CoRover,,"
Present information using data visualization techniques.
Undertake to preprocess of structured and unstructured data.
Knowledge of R, SQL, and Python.
",
21,"Noida, Uttar Pradesh",newData Scientist,Audviklabs,"₹5,00,000 - ₹7,00,000 a year","
Closely work with engineers, product Managers, data scientists to translate customer requests into useful product functionality.
",
