,location,title,company,salary,summary,rating
0,"Chennai, Tamil Nadu",newClinical Data Scientist,Pfizer,NA,"
Ensure operational excellence in collaboration with partners for application of standards, data acquisition, proactive data review and data integrity monitoring…
",4.2
1,"Bengaluru, Karnataka",newData Scientist,Happay,"₹8,00,000 - ₹12,00,000 a year","
1-2 Years as a data scientist, machine learning engineer, data analyst.
You must be highly comfortable with data manipulation and will be required to write data…
",NA
2,"Noida, Uttar Pradesh",newSenior Data Scientist,Jorie Healthcare Partners,"₹7,00,000 - ₹15,00,000 a year","
Has *expertise in implementing complex statistical analyses* for data processing, exploration, model building and implementation.
",NA
3,"Bengaluru, Karnataka",Data Scientist,Applied Materials Inc.,"₹5,26,846 - ₹17,85,107 a year","
Acquire, cleanse, organize and mine massive volumes of data (sensor/system log) using custom scripts Learn, understand and apply customer data in statistical…
",3.9
4,"Hyderabad, Telangana+1 location",newData & Applied Scientist,Microsoft,NA,"
We are looking for a strong IC, who can lead/drive areas like crunching large scale data, pushing the limits of training techniques, pushing data in real time,…
",4.2
5,"Bengaluru, Karnataka",Senior Data Scientist,GE Healthcare,NA,"
The Advanced Technology Group is focused on signal and image processing for Ultrasound, MRI, CT, X-ray and Physiological Monitoring data as well as real time…
",3.9
6,"Bengaluru, Karnataka",Data Scientist,Great Learning,"₹10,00,000 a year","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7
7,"Remote in Chennai, Tamil Nadu",newData Scientist - AI/ML (Phython),ORGware Technologies,NA,"
Appreciation of data modelling, software architecture and data structures and.
Bachelors or Masters in Computer Science or MathsStats from a reputed college…
",NA
8,"Hyderabad, Telangana",newData Scientist,ADCI - HYD 15 SEZ,NA,"
Computer Science fundamentals in data structures, algorithm design, problem solving, and complexity analysis.
3+ years of hands-on experience building ML models…
",3.5
9,"Noida, Uttar Pradesh",newData Scientist,Audviklabs,"₹5,00,000 - ₹7,00,000 a year","
Closely work with engineers, product Managers, data scientists to translate customer requests into useful product functionality.
",NA
10,"Chennai, Tamil Nadu",Senior Data scientist,ZF,NA,"
Identify and propose data driven insights from automotive data which can help business to add value to ZF’s customers for existing products.
",3.9
11,"Bengaluru, Karnataka",newData Scientist - OrgSolutions,McKinsey & Company,NA,"
You will analyze and evaluate a wide range of data including data from human resources information systems, business metrics, survey assessments and publicly…
",4.3
12,"Gurgaon, Haryana",newData Scientist,NOKIA,NA,"
As part of Algo-Augmented CM project, we are building a series of MVPs to augment the sourcing managers with analytics and data science apps.
",4.1
13,"Remote in Bengaluru, Karnataka",Data Scientist-GoFood,GO-JEK,NA,"
Work with Data Scientists, Product Engineers and Product Managers to build, deploy, and scale Data Science solutions for recommendation systems and Geospatial…
",NA
14,Remote,Data Scientist,CoRover,NA,"
Present information using data visualization techniques.
Undertake to preprocess of structured and unstructured data.
Knowledge of R, SQL, and Python.
",NA
15,"Bengaluru, Karnataka",newData Scientist,ResultsCX,NA,"
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Knowledge using statistical computer languages (R, Python, SQL, etc.)…
",NA
16,"Bengaluru, Karnataka",Data Scientist (Analyst),Scienaptic Systems,NA,"
Coming up with data driven solutions to control risk.
The Data Scientist role will enable you to be at the forefront of latest cutting-edge technology and…
",4.5
17,"Kalyan Nagar, Bengaluru, Karnataka",Data Scientist,Client of Infra-Tech Consultants,"₹10,00,000 - ₹12,00,000 a year","
Experience manipulating data to build features, perform analysis etc.
The role includes building models, data analysis and interpretation, and applying known…
",NA
18,"Bengaluru, Karnataka+1 location",newData Scientist,Ericsson,NA,"
Acuity for business flow understanding and expertise in data preparation-data mining and pre-processing.
Translate operator business objectives into business…
",4.1
19,"Bengaluru, Karnataka+1 location",newDeep Learning Specialist (Data Scientist),Standard Chartered,NA,"
In line with our Fair Pay Charter, we offer a competitive salary and benefits to support your mental, physical, financial and social wellbeing.
",4.1
20,"Gurgaon, Haryana",Data Scientist,Webhelp,NA,"
Advanced knowledge of statistical techniques, data mining, big data and machine learning.
Identifying relevant data sources in existing internal and external…
",2.9
21,"Bengaluru, Karnataka",newData Scientist / Analyst,Deutsche Bank,NA,"
Intermediate to advanced knowledge in data science, big data tools and infrastructural components – Hadoop / PySpark / Jupyter.
Best in class leave policy.
",3.8
22,"Bengaluru, Karnataka",newAssociate Data Scientist (Analytical),Eli Lilly,NA,"
Demonstrates good documentation skills with regard to raw data recording and authoring of technical and regulatory documents (e.g., technical reports, data…
",4.1
23,"Bengaluru, Karnataka",Sr. Data Scientist - Deep Learning,GE Healthcare,NA,"
Working knowledge of waveform/timeseries data and 2D/3D image data.
Gather and analyze data, devise innovative data science solutions and build prototypes to…
",3.9
24,"Bengaluru, Karnataka",Data Scientist (Operation Research),Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
2+ independent projects outside coursework in Optimization, Simulator Design and AI/ML.
Also, experience of applying optimization solvers in solving real-world…
",NA
25,"Bengaluru, Karnataka",Head of Data - Risk,GO-JEK,NA,"
Be the thought leader in application of data and AI to Risk/fraud related problems on the Gojek platform.
As the Head of Data (HoD) for Risk you will serve as…
",NA
26,"Hyderabad, Telangana",Data Scientist,Kreaas Technology Solutions Private Limited,"₹4,10,983 - ₹15,42,344 a year","
Assess the quality of data and remove or clean data.
Organizing data into usable formats.
Transforming data to produce sound datasets.
Experience: 1 to 2 years.
",NA
27,"Bengaluru, Karnataka",Data Scientist,INSUD PHARMA,"₹30,006 - ₹84,211 a month","
Strategies. Assess the effectiveness and accuracy of new data sources and data gathering.
Techniques. Develop custom data models and algorithms to apply to data…
",NA
28,"Mumbai, Maharashtra",newData Scientist,HyringNinja,"₹20,00,000 a year","
Good mathematical background and knowledge of data science, deep learning, machine learning, and artificial intelligence would be an added advantage.
",NA
29,"Hyderabad, Telangana",newData Scientist V,IGT,NA,"
Professional experience working with database developers and data engineers to ensure the data points are optimally tuned for machine learning algorithms and…
",3.7
30,"Pune, Maharashtra",Data Scientist-Geospatial Analytics,NielsenIQ,NA,"
Perform relevant modeling/Geospatial analysis and POC exploring multiple techniques on data like satellite images (rasters) or mobility data.
",3.4
31,"Chennai, Tamil Nadu",Data Scientist,IDP Education Ltd,NA,"
Improve data quality and visibility across contact centre process.
Understand contact centre outcomes and how data and metrics relate to them.
",4.2
32,"Mumbai, Maharashtra",Data Scientist,Key Person Consultancy Services,"₹5,00,000 - ₹15,00,000 a year","
Advanced degree in a computational field and/or independent research experience as a data scientist preferred.
Total work: 1 year (Preferred).
",NA
33,"Bengaluru, Karnataka",Data Scientist,Honeywell,NA,"
Your primary focus will be in applying data mining techniques, doing statistical analysis, and building quality prediction systems to improve data quality of…
",3.7
34,"Bengaluru, Karnataka",Data Scientist (Pricing Analytics),Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
3+ independent projects outside coursework in Pricing analytics, causality, promotions effect, AI/ML.
Also, experience of applying these in the Retail space.
",NA
35,"Gurgaon, Haryana",Data Scientist,Synaptic,NA,"
Developing data, ML, AI, and BI product features to enhance the user experience and the value delivered through data.
",NA
36,"Hyderabad, Telangana","newData Scientist, Enablement",Salesforce,NA,"
Acquiring, analyzing, cleaning and structuring data is an essential part of your daily responsibilities.
Understand business goals and initiatives, and combine…
",4.3
37,"Bengaluru, Karnataka",Data Scientist,NextNav,NA,"
Demonstrated experience in rapid prototyping and an excellent data analyst of a variety of atmospheric, geospatial and time series data.
",NA
38,"Bengaluru, Karnataka",Data Scientist,GE Aviation,NA,"
Work with data engineers on data quality assessment, data cleansing and data analytics.
Work with data engineers on data quality assessment, data cleansing and…
",3.8
39,"Bengaluru, Karnataka+1 location",Data Scientist: Advanced Analytics,IBM,NA,"
5+ years of data engineering and data science experience.
Implement quantum approaches, which includes data pre-/post-processing, running numerics and…
",3.9
40,"Bengaluru, Karnataka",newData Scientist,Aisera,NA,"
Own a large part of the process to enforce data governance and privacy while improving data quality and reliability.
Excellent knowledge of NLP/ML frameworks.
",NA
41,"Mumbai, Maharashtra",Data Scientist- Clinical Trial,Abbott Laboratories,NA,"
Apply scientific knowledge on data modeling, data analytics, predictive algorithms, and other data science principles to create concepts, develop prototypes,…
",4.0
42,"Chennai, Tamil Nadu+2 locations",newData Scientist,PAYPAL,NA,"
Analytics professional with a proven track record of extracting and manipulating data using SQL and leveraging advance Tableau/Looker features for data analysis…
",3.9
43,"Remote in Hyderabad, Telangana",newApplied Scientist,VIEG Services Pvt. Ltd.,NA,"
Looking for intermediate level technical minds who love juggling with AI and Data Solutions.
Skilled in Machine Learning, statistical modelling or related…
",NA
44,"Pune, Maharashtra",Data Scientist,Fluidonomics Solutions LLP,"₹2,96,790 - ₹14,75,921 a year","
Data scientists will get exposure to a wide range of datasets including shipping, supplier, news, and incident data.
Proficiency in Python is required.
",NA
45,"Hybrid remote in Gurgaon, Haryana+1 location",Data Scientist,MasterCard,NA,"
Experience in data management, data mining, data analytics, data reporting, data product development and quantitative analysis.
",4.0
46,"Chennai, Tamil Nadu",newData Scientist,Flex,NA,"
The role is response for all business data analysis.
Collect data and facts from all kinds of sources and conduct the analysis.
",3.9
47,"Noida, Uttar Pradesh+1 location",newData Scientist - Noida,Zetta Women,"₹17,00,000 a year","
O Hands-on experience in data preparation, data wrangling, train model, test model and deployment.
O To use machine learning, data mining and statistical…
",NA
48,"Bengaluru, Karnataka+2 locations",Analyst - Data Science,Amex,NA,"
Sound knowledge of Machine learning algorithms/econometrics/statistics/data mining and research methods.
Depending on role and business needs, colleagues will…
",4.1
49,"Bengaluru, Karnataka",newData Scientist,Udaan,NA,"
Instrumentation done in order to get the desired data.
You are expected to work with the respective product owner to get the appropriate.
",3.9
50,"Bengaluru, Karnataka",Data Scientist,Société Générale,NA,"
The Data Scientist will support our software developers, database architects, data analysts and data engineers on data initiatives and will ensure optimal data…
",3.8
51,"Mumbai, Maharashtra",Data Scientist,Avalor Investments Pvt. Ltd,"₹3,61,402 - ₹15,27,932 a year","
Good knowledge about unstructured data analysis methodologies(NLP, NLG).
Must have 1+ years of Experience in deep learning methods.
",NA
52,"Bengaluru, Karnataka",newRisk Analyst 2,PayPal,NA,"
Leveraging data analysis tools and technologies.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…
",3.9
53,"Gurgaon, Haryana",Data Scientist,Impetus Technologies,NA,"
Solution creation from structured/unstructured data.
Machine Learning model development engineers with Natural Language Processing(NLP) and Computer Vision,…
",4.2
54,"Pune, Maharashtra",Junior Data Scientist (Breast Cancer Clinical Data),Centre For Translational Cancer Research,"₹35,000 a month","
We at PCCM-CTCR are looking for the following candidate to join our Data Team to evolve the existing system and design the needed schema for research and…
",NA
55,"Gurgaon, Haryana+1 location",newManager-Data Science,Amex,NA,"
Lead and develop a high performing team of decision scientists to deliver fraud prevention solutions.
The team leads efforts that leverage data and digital…
",4.1
56,Delhi,new3B_Senior Data Scientist,Incedo,NA,"
Ability to mentor data scientists and critically evaluate the approaches discussed.
Hands-on with common data processing techniques.
",NA
57,"Bengaluru, Karnataka+1 location",Data Scientist Lead,Wipro Limited,NA,"
Collaborate with different colleges and institutes forrecruitment, joint research initiatives and provide data science courses.
Support Go-To-Market strategy.
",3.8
58,"Bengaluru, Karnataka",newData Analyst (Risk Research) - Risk Analytics,GO-JEK,NA,"
We use big data with human intelligence to make the best decision.
Develop innovative analytical techniques and data science frameworks to detect abnormal…
",NA
59,"New Delhi, Delhi",Data Scientist,Eoraa & Co.,NA,"
Proficient with Python/R.
Strong communication and presentation skills.
Knowledge of various analytical approaches.
",NA
61,"Hyderabad, Telangana",newBenelux Data Scientist - Associate Manager L06,PepsiCo,NA,"
Act as a data and analytics evangelist, be at the forefront of data-driven models and insights and lead others to leverage data in their decision making.
",3.8
62,"Bengaluru, Karnataka",Data Scientist - All Levels,Greenizon Agritech Consultancy,NA,"
Presenting information using data visualization techniques.
Identifying valuable data sources and automate collection processes.
",NA
63,"Chandigarh, Chandigarh",newData Scientist,TandA HR Solutions,"₹10,00,000 - ₹12,00,000 a year","
Visualization data mining sql data science data scientist data analytics.
Sources of data to achieve targeted outcomes.
",NA
64,"Pune, Maharashtra",newData Scientist,Tacit Consulting & Services LLP,"₹5,000 - ₹15,000 a month","
Experience working with Data cleaning, data Analysis and EDA.
Use statistical methods to analyze data and generate useful business reports.
",NA
