,location,title,company,salary,summary,rating,clean_location,clean_title
0,"Bengaluru, Karnataka",Data Scientist,Applied Materials Inc.,"₹5,26,846 - ₹17,85,107 a year","
Acquire, cleanse, organize and mine massive volumes of data (sensor/system log) using custom scripts Learn, understand and apply customer data in statistical…
",3.9,"Bengaluru, Karnataka",Data Scientist
1,"Bengaluru, Karnataka",Senior Data Scientist,CORESTRAT LABS PRIVATE LIMITED,"₹30,00,000 a year","
Collaborate to enhance data infrastructure and build a seamless research platform.
Deliver real impact to the product through rigorous data-driven solutions.
",,"Bengaluru, Karnataka",Senior Data Scientist
2,"Bengaluru, Karnataka",Data Scientist - SQL Queries,Talent500,,"
You execute deep & complex quantitative analyses that translate data into actionable insights.
As a Lead Business Analyst, you are expected to have a top-down…
",,"Bengaluru, Karnataka",Data Scientist SQL Queries
3,"Remote in Bengaluru, Karnataka",newData Scientist - GoFood,GO-JEK,,"
Working alongside fellow analysts, scientists, Product managers and Business, you will be instrumental in helping our stakeholders make data-driven decisions by…
",,"Bengaluru, Karnataka",Data Scientist GoFood
4,"Bengaluru, Karnataka",newData Scientist,Zipcar,,"
Develops a mastery of complex data sources by collaborating with data partners to improve and expand the teams access to internal and external third-party data.
",,"Bengaluru, Karnataka",Data Scientist
5,"Bengaluru, Karnataka",newAnalytics Data Scientist,IBM,,"
Consolidate data sets to improve reporting and analysis.
Build data-driven products and experiences that help our customers and directly impact their essential…
",3.9,"Bengaluru, Karnataka",Analytics Data Scientist
6,"Chennai, Tamil Nadu",Senior Data scientist,ZF,,"
Identify and propose data driven insights from automotive data which can help business to add value to ZF’s customers for existing products.
",3.9,"Chennai, Tamil Nadu",Senior Data scientist
7,"Mumbai, Maharashtra",newData Scientist,UPL ltd,,"
Collaborate with senior data scientists in building and delivering analytics models.
Understanding of data engineering techniques and concepts like pilot…
",4.0,"Mumbai, Maharashtra",Data Scientist
8,"Bengaluru, Karnataka",Data Scientist,Great Learning,"₹10,00,000 a year","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7,"Bengaluru, Karnataka",Data Scientist
9,"Hyderabad, Telangana",newAssociate Data Scientist,Gramener,,"
Feel the thrill of using data to tell stories.
Learn the ropes of converting Data Problems to Data Answers using AI/ML.
Any graduate or final year student.
",4.3,"Hyderabad, Telangana",Associate Data Scientist
10,"Bengaluru, Karnataka",Senior Data Scientist,GE Healthcare,,"
The Advanced Technology Group is focused on signal and image processing for Ultrasound, MRI, CT, X-ray and Physiological Monitoring data as well as real time…
",3.9,"Bengaluru, Karnataka",Senior Data Scientist
11,Remote,newData Scientist,MNR Solutions Pvt. Ltd.,,"
4+ years’ *relevant* experience in data science, supervised and unsupervised learning, including advanced pattern recognition and predictive modelling…
",,,Data Scientist
12,"Bengaluru, Karnataka",Data Scientist,Happay,"₹8,00,000 - ₹12,00,000 a year","
1-2 Years as a data scientist, machine learning engineer, data analyst.
You must be highly comfortable with data manipulation and will be required to write data…
",,"Bengaluru, Karnataka",Data Scientist
13,"Noida, Uttar Pradesh",newSenior Data Scientist,Jorie Healthcare Partners,"₹7,00,000 - ₹15,00,000 a year","
Has *expertise in implementing complex statistical analyses* for data processing, exploration, model building and implementation.
",,"Noida, Uttar Pradesh",Senior Data Scientist
14,"Gurgaon, Haryana",newJunior Data Scientist,momspresso,"₹10,00,000 - ₹20,00,000 a year","
Develop custom data models and algorithms to apply to data sets.
Technical expertise with data models, data mining, and segmentation techniques.
",,"Gurgaon, Haryana",Junior Data Scientist
15,"Gurgaon, Haryana",newData Science,Airtel India,,"At Airtel X Labs, our work fundamentally transforms the way people communicate and businesses operate. Since our early days in the mobile era, we have rallied…",4.1,"Gurgaon, Haryana",Data Science
16,"Bengaluru, Karnataka+1 location",newData Scientist: Advanced Analytics,IBM,,"
5+ years of data engineering and data science experience.
Implement quantum approaches, which includes data pre-/post-processing, running numerics and…
",3.9,"Bengaluru, Karnataka",Data Scientist Advanced Analytics
17,"Hyderabad, Telangana+1 location",newData & Applied Scientist,Microsoft,,"
We are looking for a strong IC, who can lead/drive areas like crunching large scale data, pushing the limits of training techniques, pushing data in real time,…
",4.2,"Hyderabad, Telangana",Data & Applied Scientist
18,"Chennai, Tamil Nadu+1 location",newData Scientist,PayPal,,"
Passionate about generating insights from data to solve business problems.
Knowledge of data and visualization tools like SAS, Python, QlikView, Tableau.
",3.9,"Chennai, Tamil Nadu",Data Scientist
19,"Remote in Chennai, Tamil Nadu",newData Scientist - AI/ML (Phython),ORGware Technologies,,"
Appreciation of data modelling, software architecture and data structures and.
Bachelors or Masters in Computer Science or MathsStats from a reputed college…
",,"Chennai, Tamil Nadu",Data Scientist AIML Phython
20,"Bengaluru, Karnataka",newAssociate - Data Science,TheMathCompany,,"
Strong application knowledge on tools (R Programming /SAS/Python/SPSS etc.).
And techniques (Regression, Machine Learning, Classification, Time series etc.).
",2.0,"Bengaluru, Karnataka",Associate Data Science
21,"Pune, Maharashtra",Data Scientist,amdocs,,"
You will identify data sources, supervises the data collection process and crafts the data structure in collaboration with data experts (BI or big-data) and…
",3.8,"Pune, Maharashtra",Data Scientist
22,Remote,Data Scientist,CoRover,,"
Present information using data visualization techniques.
Undertake to preprocess of structured and unstructured data.
Knowledge of R, SQL, and Python.
",,,Data Scientist
23,"Noida, Uttar Pradesh",newData Scientist,Audviklabs,"₹5,00,000 - ₹7,00,000 a year","
Closely work with engineers, product Managers, data scientists to translate customer requests into useful product functionality.
",,"Noida, Uttar Pradesh",Data Scientist
