,location,title,company,salary,summary,rating
0,"Bengaluru, Karnataka",Data Scientist,Applied Materials Inc.,"₹5,26,846 - ₹17,85,107 a year","
Acquire, cleanse, organize and mine massive volumes of data (sensor/system log) using custom scripts Learn, understand and apply customer data in statistical…
",3.9
1,"Bengaluru, Karnataka",Senior Data Scientist,CORESTRAT LABS PRIVATE LIMITED,"₹30,00,000 a year","
Collaborate to enhance data infrastructure and build a seamless research platform.
Deliver real impact to the product through rigorous data-driven solutions.
",NA
2,"Bengaluru, Karnataka",Data Scientist - SQL Queries,Talent500,NA,"
You execute deep & complex quantitative analyses that translate data into actionable insights.
As a Lead Business Analyst, you are expected to have a top-down…
",NA
3,"Remote in Bengaluru, Karnataka",newData Scientist - GoFood,GO-JEK,NA,"
Working alongside fellow analysts, scientists, Product managers and Business, you will be instrumental in helping our stakeholders make data-driven decisions by…
",NA
4,"Bengaluru, Karnataka",newData Scientist,Zipcar,NA,"
Develops a mastery of complex data sources by collaborating with data partners to improve and expand the teams access to internal and external third-party data.
",NA
5,"Bengaluru, Karnataka",newAnalytics Data Scientist,IBM,NA,"
Consolidate data sets to improve reporting and analysis.
Build data-driven products and experiences that help our customers and directly impact their essential…
",3.9
6,"Chennai, Tamil Nadu",Senior Data scientist,ZF,NA,"
Identify and propose data driven insights from automotive data which can help business to add value to ZF’s customers for existing products.
",3.9
7,"Mumbai, Maharashtra",newData Scientist,UPL ltd,NA,"
Collaborate with senior data scientists in building and delivering analytics models.
Understanding of data engineering techniques and concepts like pilot…
",4.0
8,"Bengaluru, Karnataka",Data Scientist,Great Learning,"₹10,00,000 a year","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7
9,"Hyderabad, Telangana",newAssociate Data Scientist,Gramener,NA,"
Feel the thrill of using data to tell stories.
Learn the ropes of converting Data Problems to Data Answers using AI/ML.
Any graduate or final year student.
",4.3
10,"Bengaluru, Karnataka",Senior Data Scientist,GE Healthcare,NA,"
The Advanced Technology Group is focused on signal and image processing for Ultrasound, MRI, CT, X-ray and Physiological Monitoring data as well as real time…
",3.9
11,Remote,newData Scientist,MNR Solutions Pvt. Ltd.,NA,"
4+ years’ *relevant* experience in data science, supervised and unsupervised learning, including advanced pattern recognition and predictive modelling…
",NA
12,"Bengaluru, Karnataka",Data Scientist,Happay,"₹8,00,000 - ₹12,00,000 a year","
1-2 Years as a data scientist, machine learning engineer, data analyst.
You must be highly comfortable with data manipulation and will be required to write data…
",NA
13,"Noida, Uttar Pradesh",newSenior Data Scientist,Jorie Healthcare Partners,"₹7,00,000 - ₹15,00,000 a year","
Has *expertise in implementing complex statistical analyses* for data processing, exploration, model building and implementation.
",NA
14,"Gurgaon, Haryana",newJunior Data Scientist,momspresso,"₹10,00,000 - ₹20,00,000 a year","
Develop custom data models and algorithms to apply to data sets.
Technical expertise with data models, data mining, and segmentation techniques.
",NA
15,"Gurgaon, Haryana",newData Science,Airtel India,NA,"At Airtel X Labs, our work fundamentally transforms the way people communicate and businesses operate. Since our early days in the mobile era, we have rallied…",4.1
16,"Bengaluru, Karnataka+1 location",newData Scientist: Advanced Analytics,IBM,NA,"
5+ years of data engineering and data science experience.
Implement quantum approaches, which includes data pre-/post-processing, running numerics and…
",3.9
17,"Hyderabad, Telangana+1 location",newData & Applied Scientist,Microsoft,NA,"
We are looking for a strong IC, who can lead/drive areas like crunching large scale data, pushing the limits of training techniques, pushing data in real time,…
",4.2
18,"Chennai, Tamil Nadu+1 location",newData Scientist,PayPal,NA,"
Passionate about generating insights from data to solve business problems.
Knowledge of data and visualization tools like SAS, Python, QlikView, Tableau.
",3.9
19,"Remote in Chennai, Tamil Nadu",newData Scientist - AI/ML (Phython),ORGware Technologies,NA,"
Appreciation of data modelling, software architecture and data structures and.
Bachelors or Masters in Computer Science or MathsStats from a reputed college…
",NA
20,"Bengaluru, Karnataka",newAssociate - Data Science,TheMathCompany,NA,"
Strong application knowledge on tools (R Programming /SAS/Python/SPSS etc.).
And techniques (Regression, Machine Learning, Classification, Time series etc.).
",2.0
21,"Pune, Maharashtra",Data Scientist,amdocs,NA,"
You will identify data sources, supervises the data collection process and crafts the data structure in collaboration with data experts (BI or big-data) and…
",3.8
22,Remote,Data Scientist,CoRover,NA,"
Present information using data visualization techniques.
Undertake to preprocess of structured and unstructured data.
Knowledge of R, SQL, and Python.
",NA
23,"Noida, Uttar Pradesh",newData Scientist,Audviklabs,"₹5,00,000 - ₹7,00,000 a year","
Closely work with engineers, product Managers, data scientists to translate customer requests into useful product functionality.
",NA
24,"Bengaluru, Karnataka+1 location",newAdvanced Data Scientist,Honeywell,NA,"
Work experience / education in data science, data engineering and analytics.
Develop and maintain scalable data pipelines, infrastructure, API integrations to…
",3.7
25,"Bengaluru, Karnataka+1 location",newData Scientist IV,HP,NA,"
Understanding of data structures, data modelling and software architecture.
Transform data science prototypes into machine learning systems.
",NA
26,"Bengaluru, Karnataka",newSenior Data Scientist,Great Learning,"₹12,00,000 a year","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7
27,"Mumbai, Maharashtra",newData Scientist,Arysta LifeScience Corporation,NA,"
Collaborate with senior data scientists in building and delivering analytics models.
Understanding of data engineering techniques and concepts like pilot…
",NA
28,"Bengaluru, Karnataka",newData Scientist I/II,Philips,NA,"
Experience in statistical modelling, machine learning, data mining, unstructured data analytics and natural language processing.
",4.0
29,"Bengaluru, Karnataka",DATA SCIENTIST DEMAND FORECASTING,Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
3-6 years of experience independent projects outside coursework in time series forecasting, demand planning, pricing analytics, causality, promotions effect, AI…
",NA
30,"Bengaluru, Karnataka",newData Scientist - OrgSolutions,McKinsey & Company,NA,"
You will analyze and evaluate a wide range of data including data from human resources information systems, business metrics, survey assessments and publicly…
",4.3
31,"Mumbai, Maharashtra",newData Scientist,Ekeeda Pvt. Ltd,"₹700 - ₹1,500 an hour","
Clear doubts of students.
Provide assessments & assignments to students.
Conduct monthly Tests of students.
Mumbai, Maharashtra: Reliably commute or planning to…
",NA
32,"Mumbai, Maharashtra",newData Scientist,Zepto,NA,"
Basic SQL with ability to fetch, transform data tables.
Design and run data backed experiments to improve process efficiency and create systems to capture them.
",NA
33,"Bengaluru, Karnataka",newData Scientist,Walmart Global Tech India,NA,"
Direct the gathering of data, assessing data validity and synthesizing data into large analytics datasets to support project goals.
",NA
34,"Kalyan Nagar, Bengaluru, Karnataka",Data Scientist,Client of Infra-Tech Consultants,"₹10,00,000 - ₹12,00,000 a year","
Experience manipulating data to build features, perform analysis etc.
The role includes building models, data analysis and interpretation, and applying known…
",NA
35,"Mumbai, Maharashtra",newSenior Data Scientist,Brillio,NA,"
Experience using statistical computer languages (Python) to manipulate data and draw insights from large data sets.
",3.4
36,"Chennai, Tamil Nadu",Data Scientist,"BSRI Solutions Pvt Ltd.,","₹8,00,000 - ₹15,00,000 a year","
Understands the requirements from project teams, processes appropriate data sets, generates insightful reports, develops appropriate wireframes/visualization…
",NA
37,"Gurgaon, Haryana",Data Scientist,Webhelp,NA,"
Advanced knowledge of statistical techniques, data mining, big data and machine learning.
Identifying relevant data sources in existing internal and external…
",2.9
38,"Amritsar, Punjab",newData Scientist Intern,OXO Solutions,NA,"
Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
",NA
39,"Gurgaon, Haryana",newData Scientist,NOKIA,NA,"
As part of Algo-Augmented CM project, we are building a series of MVPs to augment the sourcing managers with analytics and data science apps.
",4.1
40,"Bengaluru, Karnataka","Data Scientist - Predictive Analysis, Time Series Forecastin...",Wipro Limited,NA,"
""As a Senior Consultant in one of the industry verticals, you are responsible for contribution to the functional design, architecture of the solution and…
",3.8
41,"Bengaluru, Karnataka",newData Scientist,ABB,NA,"
Working with cross-functional and global teams to lead projects solving complex business problems using data science and own complete lifecycle of analytics…
",3.9
42,"Ahmedabad, Gujarat",newData Scientist,Swastik Placement Agency,"₹30,000 - ₹70,000 a month","
Look for unstructured and structured data to extract meaningful insights.
Certified by a data analyst boot camp will be added advantage.
",NA
43,"Bengaluru, Karnataka+1 location",newData Scientist,Oracle,NA,"
Advanced ability to perform exploratory data analysis and data visualization skills.
Work with fellow data scientists & architects to build out and maintain all…
",3.8
44,"Bengaluru, Karnataka",newData Scientist,Bosch Group,NA,"
Experience: At least 2 years of experience of professional data science.
You will be able to explore the full world of our business data platform to generate…
",4.1
45,"Hybrid remote in Chennai, Tamil Nadu",newData Scientist,CredAvenue,NA,"
The Data Science team is responsible for providing data driven solutions on Cred Avenue utilizing data generated across the ecosystem.
Food is on the house.
",NA
46,"Bengaluru, Karnataka",newData Scientist,"JPMorgan Chase Bank, N.A.",NA,"
Help the LOB stakeholders innovate through data-driven decisioning by analyzing data from diverse data sources to create rich insights that enable better…
",3.8
47,"Bengaluru, Karnataka",Data Scientist (Pricing Analytics),Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
3+ independent projects outside coursework in Pricing analytics, causality, promotions effect, AI/ML.
Also, experience of applying these in the Retail space.
",NA
48,"Bengaluru, Karnataka",Data Scientist (Operation Research),Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
2+ independent projects outside coursework in Optimization, Simulator Design and AI/ML.
Also, experience of applying optimization solvers in solving real-world…
",NA
49,"Bengaluru, Karnataka",newData Scientist Senior,FIS Global,NA,"
A deep understanding of Machine Learning algorithms, data, data challenges, quality issues and visualization techniques that allows you to do data story telling…
",3.4
50,"Mumbai, Maharashtra",Data Scientist,HyringNinja,"₹20,00,000 a year","
Good mathematical background and knowledge of data science, deep learning, machine learning, and artificial intelligence would be an added advantage.
",NA
51,"Bengaluru, Karnataka",newSenior NLP Data Scientist,Shell,NA,"
Our team develops the advanced products and technologies Shell needs to meet customer demand.
As a Senior NLP Data Scientist, you will sit across project teams…
",3.9
52,"Bengaluru, Karnataka",newPrincipal Data Scientist,Walmart Global Tech India,NA,"
Understand the business problem and develop data science based solution.
Lead the discovery phase of medium to large data science projects to come up with high…
",NA
53,"Chennai, Tamil Nadu",Data Engineer/Data Science with Python,Resource Tree,"₹1,09,996 - ₹5,00,220 a year","
Primary Skills: Python,Linux,SQL / PL SQL Secondary Skills: SQL / PL SQL Role Description: Data engineering role requires creating and managing technological…
",NA
54,"Mumbai, Maharashtra",Manager - Financial Insights & Analytics (Data Scientist),Mahindra & Mahindra Ltd.,NA,"
Ability to handle big and complex data.
Understand and Implement algorithms and statistical models on technical tools such as R, Python.
",4.2
55,"Bengaluru, Karnataka",Data Scientist-AI/ML,Synopsys,NA,"
4+ years of industry experience working as a data scientist/Engineer or similar.
You will work with domain experts to identify the most efficient way to collect…
",4.1
56,"Hyderabad, Telangana",newData Scientist,eNFLUENCE IT Services,NA,"
SAS model development experience as a secondary skill alongside Python skills.
Functional Area:Data Science & Analytics.
Employment Type:Full Time, Permanent.
",NA
57,"Pune, Maharashtra",newData Scientist,Coditation Systems,NA,"
Hands on experience in handling large data sets strongly preferred.
A Data Scientist who would take responsibility to help the team with building automated…
",NA
58,"Temporarily Remote in Bengaluru, Karnataka",Decision Scientist,sharechat,NA,"
Experience finding, cleaning, and manipulating data to build large scale data sets.
2+ years of experience in data analysis, data science, decision science, or…
",4.5
59,"Chennai, Tamil Nadu",newData Scientist,Flex,NA,"
The role is response for all business data analysis.
Collect data and facts from all kinds of sources and conduct the analysis.
",3.9
60,"Mumbai, Maharashtra",Data Scientist,Avalor,"₹4,08,570 - ₹15,47,875 a year","
Good knowledge about unstructured data analysis methodologies(NLP, NLG).
Must have 1+ years of Experience in deep learning methods.
",NA
61,"Bengaluru, Karnataka",newLead Data Scientist,Apar Technologies,"₹24,00,000 - ₹28,00,000 a year","
Strong knowledge of common data science toolkits like tools like R / Python.
Lead Data Scientist with minimum 6+ years hands-on Data Science experience and…
",3.9
62,"Bengaluru, Karnataka",newRevenue Managment - Data Scientist,"JPMorgan Chase Bank, N.A.",NA,"
3+ years experience doing quantitative data analysis, ideally in online payments industry.
Excellent communication and presentation skills, and proven ability…
",3.8
63,"Delhi, Delhi",newData Scientist,Geninvo,"₹18,00,000 - ₹24,00,000 a year","
Advising/mentoring data scientists and business partners on applying NLP in their work.
Experience with data visualization libraries such as Matplotlib, plotly,…
",NA
64,"Bengaluru, Karnataka",Associate Professional - Data Scientist / Analytics,Sutherland,NA,"
Should have hands on experience in one of the programming tools for over 4- 8 yrs: R, Python (preferably Python).
Nice to have: Text Analytics experience.
",3.6
65,"Chennai, Tamil Nadu",newData Science Analyst,Shell,NA,"
Passion for data with strong analytical mindset and focus on drilling data for commercial insight.
Need to identify relevant data sources available and pro…
",3.9
66,"Bengaluru, Karnataka",Data Scientist-CAI,HDFC Bank,NA,"
Hands-on experience in data wrangling (ETL), feature engineering, building and deploying scalable machine learning algorithms.
",3.9
67,"Gurgaon, Haryana",Data Scientist,Impetus Technologies,NA,"
Solution creation from structured/unstructured data.
Machine Learning model development engineers with Natural Language Processing(NLP) and Computer Vision,…
",4.2
68,"Hyderabad, Telangana",newAI & ML Engineer,Techneurons Consulting Solutions,NA,"
We are looking for Machine Learning Engineers having understanding in ML/AI/DL to help us create Map related AI products.
",3.3
69,"Bengaluru, Karnataka",newRisk Analyst 2,PayPal,NA,"
Leveraging data analysis tools and technologies.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…
",3.9
70,"Chennai, Tamil Nadu","Prin, Data Scientist",BNY Mellon,NA,"
Excellent analytical and big-data skills.
Previous experience at next-gen analytics or big-data fintech companies strongly preferrece.
",3.5
71,"Chennai, Tamil Nadu",newBusiness Analytics and Reporting specialist,NOKIA,NA,"
Identify gaps in data collection and support data collection improvements resulting in less manual work and up-to-date information.
",4.1
72,"Hyderabad, Telangana",newData Scientist V,IGT,NA,"
Professional experience working with database developers and data engineers to ensure the data points are optimally tuned for machine learning algorithms and…
",3.7
73,Remote,Data Scientist (experienced),Codvo.ai,"₹4,21,657 - ₹16,47,428 a year","
Familiar with modern data analytics architecture and data engineering technologies.
Own complex data science workflows with the Data Engineering team.
",NA
74,"Bengaluru, Karnataka",Data Scientist - All Levels,Greenizon Agritech Consultancy,NA,"
Presenting information using data visualization techniques.
Identifying valuable data sources and automate collection processes.
",NA
75,"Bengaluru, Karnataka",Data Scientist,Anzy Careers Private Limited,"₹20,00,000 a year","
Should have a proven track record of co-ordinating with product managers, data engineers and other stake-holders.
Good proficiency in Python, Scala and Pyspark.
",NA
76,"Chennai, Tamil Nadu+1 location",Clinical Data Programming Scientist,Accenture,NA,"
Designation: Clinical Data Programming Scientist.
Years of Experience: 5-8 years.
Employees under this span will be a part of one of the sub-offerings -…
",4.0
77,"Bengaluru, Karnataka",Data Scientist,Société Générale,NA,"
The Data Scientist will support our software developers, database architects, data analysts and data engineers on data initiatives and will ensure optimal data…
",3.8
78,"Bengaluru, Karnataka",Data Scientist,Aisera,NA,"
Own a large part of the process to enforce data governance and privacy while improving data quality and reliability.
Excellent knowledge of NLP/ML frameworks.
",NA
79,"Noida, Uttar Pradesh",Data Science / Machine Learning Trainer,UniConverge Technologies Pvt. Ltd.,"₹4,08,162 - ₹16,18,408 a year","
Give training on Data Science, Machine Learning and AI.
Job Types: Full-time, Part-time, Freelance.
Part-time hours: 12 per week.
",3.0
80,"Bengaluru, Karnataka",newLead Machine Learning Scientist,HP,NA,"
Understanding of data structures, data modelling and software architecture.
Work alongside data scientists and product owners to improve aspects of their lines…
",NA
81,"Coimbatore, Tamil Nadu+1 location",Data Scientist,ZF,NA,"
You bring strong knowledge in data query languages like SQL and languages for data processing & process automation like Python, PowerShell.
",3.9
82,"Bengaluru, Karnataka",Data Scientist - Signal Processing,Mercedes-Benz Research and Development India...,NA,"
Have experience in handling data workflow and monitoring big data application.
Familiarity with data engineering is also a must.
",4.0
83,"Delhi, Delhi",newLead Data Scientist,MedTourEasy,"₹13,20,000 - ₹19,00,000 a year","
Manage a team of data scientists, machine learning engineers and big data specialists.
Ensure data quality and integrity.
Interpret and analyze data problems.
",NA
84,"Bengaluru, Karnataka",Data Scientist: Artificial Intelligence,IBM,NA,"
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and…
",3.9
85,"Chennai, Tamil Nadu",Data Science Intern with Python,Resource Tree,"₹2,26,513 - ₹5,00,000 a year","
Primary Skills: Python,Linux,SQL / PL SQL Secondary Skills: SQL / PL SQL Role Description: Data engineering role requires creating and managing technological…
",NA
86,"Bengaluru, Karnataka",newAssociate Data Scientist,Shell,NA,"
Collaborate with a broad community of data scientists and data engineers.
Assure data quality and data integrity.
Should be able to handle complex SQL queries.
",3.9
87,"Bengaluru, Karnataka",Data Scientist,BitGo,NA,"
Familiarity with data warehouse development and best practices.
2+ years industry experience in data analytics field for those with Masters degree / 3+ years…
",NA
88,"Temporarily Remote in Mumbai, Maharashtra",Machine Learning Scientist,Wadhwani AI,NA,"
Ideal candidates should have a strong research background and be adept at a variety of data mining/analysis methods and tools, building and implementing models,…
",NA
89,"Chennai, Tamil Nadu",NLP Engineer and Data Mining Engineer,Hubino,NA,"
Strong knowledge in data structures and algorithms.
3+ years of work experience in data.
Knowledge of association mining, named entity recognition and vector…
",NA
90,"Bellandur, Bengaluru, Karnataka",Associate Data Scientist,Airtel India,NA,"
Incident management & Change management of around 400 NMS/EMS instances.
Major upgrades & Bug fixing of 400 NMS/EMS instances.
",4.1
91,"Bengaluru, Karnataka+1 location",Data Scientist,Ericsson,NA,"
Decide approach for data science.
Design & perform data science experiment.
Convert data into actionable insights.
Synthesize problems into data question(s).
",4.1
92,"Bengaluru, Karnataka",Data Scientist,RELX,NA,"{Empty} RELX is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed,…",NA
93,"Remote in Noida, Uttar Pradesh",newData Scientist,HashiCorp,NA,"
Manage and analyze raw data in order to build algorithms to provide data-driven business insights and high-impact ML models to generate significant business…
",NA
94,"Mumbai, Maharashtra",newData Analytics Lead,BIG IT JOBS,"₹1,00,000 - ₹2,20,000 a month","
Overall 10 + years’ experience in Data Analytics and 4 – 8 Years of hands-on technical experience in using data analytics tools, data extraction, data…
",NA
95,"Mumbai, Maharashtra+1 location",newData Scientist,Tech mahindra,NA,"
10+ years of experience working in a data science position Experience with common programming languages and tools for data science like Python Experience…
",3.7
96,"Bengaluru, Karnataka",Data Scientist - I/II,sharechat,NA,"
Apply state of the art in the relevant research domains to make significant contributions to the feature roadmap of the ShareChat app in the aforementioned…
",4.5
97,"New Delhi, Delhi",Data Scientist,WinZO,NA,"
Interpret data, analyze results using statistical techniques and effectively communicate actionable.
Knowledge on Big data tools, CV, DL is a plus.
",NA
98,Temporarily Remote in India,Associate Machine Learning Scientist,Wadhwani AI,NA,"
In order to apply machine learning for social good, you will need to understand user challenges and their context, curate and transform data, train and validate…
",NA
