,location,title,company,salary,summary,rating,JT
0,NA,NA,NA,NA,NA,NA,Data+Scientist
1,"Bengaluru, Karnataka",Senior Data Scientist,CORESTRAT LABS PRIVATE LIMITED,"₹30,00,000 a yearFull-timeFlexible shift +1","
Collaborate to enhance data infrastructure and build a seamless research platform.
Deliver real impact to the product through rigorous data-driven solutions.
",NA,Data+Scientist
2,"Bengaluru, Karnataka",Data Scientist,Infosys Limited,NA,"
Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &…
",3.9,Data+Scientist
3,"Bengaluru, Karnataka",Data Scientist - SQL Queries,Talent500,Full-time,"
You execute deep & complex quantitative analyses that translate data into actionable insights.
As a Lead Business Analyst, you are expected to have a top-down…
",NA,Data+Scientist
4,"Bengaluru, Karnataka",newData Scientist,Zipcar,Full-time,"
Develops a mastery of complex data sources by collaborating with data partners to improve and expand the teams access to internal and external third-party data.
",NA,Data+Scientist
5,"Chennai, Tamil Nadu",Senior Data scientist,ZF,NA,"
Identify and propose data driven insights from automotive data which can help business to add value to ZF’s customers for existing products.
",3.9,Data+Scientist
6,"Bengaluru, Karnataka",newAnalytics Data Scientist,IBM,Full-time,"
Consolidate data sets to improve reporting and analysis.
Build data-driven products and experiences that help our customers and directly impact their essential…
",3.9,Data+Scientist
7,"Bengaluru, Karnataka",Senior Data Scientist,GE Healthcare,NA,"
The Advanced Technology Group is focused on signal and image processing for Ultrasound, MRI, CT, X-ray and Physiological Monitoring data as well as real time…
",3.9,Data+Scientist
8,"Bengaluru, Karnataka",newData Scientist - GoFood,GO-JEK,NA,"
Work closely with Product managers and Business stakeholders to understand their day-to-day problems, analyse the impact data-driven decisions can bring, and…
",NA,Data+Scientist
9,"Bengaluru, Karnataka",Data Scientist,Great Learning,"₹10,00,000 a yearFull-timeFlexible shift +1","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7,Data+Scientist
10,"Bengaluru, Karnataka",Data Scientist,Happay,"₹8,00,000 - ₹12,00,000 a yearFull-time","
1-2 Years as a data scientist, machine learning engineer, data analyst.
You must be highly comfortable with data manipulation and will be required to write data…
",NA,Data+Scientist
11,"Mumbai, Maharashtra",newData Scientist,UPL ltd,Full-time,"
Collaborate with senior data scientists in building and delivering analytics models.
Understanding of data engineering techniques and concepts like pilot…
",4.0,Data+Scientist
12,"Hyderabad, Telangana",newAssociate Data Scientist,Gramener,NA,"
Feel the thrill of using data to tell stories.
Learn the ropes of converting Data Problems to Data Answers using AI/ML.
Any graduate or final year student.
",4.3,Data+Scientist
13,Remote,newData Scientist,MNR Solutions Pvt. Ltd.,NA,"
4+ years’ *relevant* experience in data science, supervised and unsupervised learning, including advanced pattern recognition and predictive modelling…
",NA,Data+Scientist
14,"Mumbai, Maharashtra",newData Scientist,Arysta LifeScience Corporation,Full-time,"
Collaborate with senior data scientists in building and delivering analytics models.
Understanding of data engineering techniques and concepts like pilot…
",NA,Data+Scientist
15,"Chennai, Tamil Nadu",newData Scientist,Caterpillar,Full-time,"
Extensive background in data mining and statistical analysis.
Enhancing data collection procedures to include information that is relevant for building analytic…
",3.8,Data+Scientist
16,"Gurgaon, Haryana",newJunior Data Scientist,momspresso,"₹10,00,000 - ₹20,00,000 a yearFull-timeMorning shift","
Develop custom data models and algorithms to apply to data sets.
Technical expertise with data models, data mining, and segmentation techniques.
",NA,Data+Scientist
17,"Hyderabad, Telangana+1 location",newData & Applied Scientist,Microsoft,Full-time,"
We are looking for a strong IC, who can lead/drive areas like crunching large scale data, pushing the limits of training techniques, pushing data in real time,…
",4.2,Data+Scientist
18,"Chennai, Tamil Nadu+1 location",newData Scientist,PayPal,Full-time,"
Passionate about generating insights from data to solve business problems.
Knowledge of data and visualization tools like SAS, Python, QlikView, Tableau.
",3.9,Data+Scientist
19,"Bengaluru, Karnataka+1 location",newData Scientist: Advanced Analytics,IBM,Full-time,"
5+ years of data engineering and data science experience.
Implement quantum approaches, which includes data pre-/post-processing, running numerics and…
",3.9,Data+Scientist
20,"Gurgaon, Haryana",newData Science,Airtel India,Full-time,"At Airtel X Labs, our work fundamentally transforms the way people communicate and businesses operate. Since our early days in the mobile era, we have rallied…",4.1,Data+Scientist
21,"Pune, Maharashtra",Data Scientist,amdocs,NA,"
You will identify data sources, supervises the data collection process and crafts the data structure in collaboration with data experts (BI or big-data) and…
",3.8,Data+Scientist
22,Remote,Data Scientist,CoRover,Full-time,"
Present information using data visualization techniques.
Undertake to preprocess of structured and unstructured data.
Knowledge of R, SQL, and Python.
",NA,Data+Scientist
23,"Noida, Uttar Pradesh",newSenior Data Scientist,Jorie Healthcare Partners,"₹7,00,000 - ₹15,00,000 a yearFull-timeEvening shift +1","
Has *expertise in implementing complex statistical analyses* for data processing, exploration, model building and implementation.
",NA,Data+Scientist
24,"Noida, Uttar Pradesh",newData Scientist,Audviklabs,"₹5,00,000 - ₹7,00,000 a yearFull-timeFlexible shift","
Closely work with engineers, product Managers, data scientists to translate customer requests into useful product functionality.
",NA,Data+Scientist
25,"Remote in Chennai, Tamil Nadu",newData Scientist - AI/ML (Phython),ORGware Technologies,NA,"
Appreciation of data modelling, software architecture and data structures and.
Bachelors or Masters in Computer Science or MathsStats from a reputed college…
",NA,Data+Scientist
26,"Chennai, Tamil Nadu",Data Scientist,"BSRI Solutions Pvt Ltd.,","₹8,00,000 - ₹15,00,000 a yearFull-timeMorning shift","
Understands the requirements from project teams, processes appropriate data sets, generates insightful reports, develops appropriate wireframes/visualization…
",NA,Data+Scientist
27,"Bengaluru, Karnataka",DATA SCIENTIST DEMAND FORECASTING,Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a yearFull-timeDay shift","
3-6 years of experience independent projects outside coursework in time series forecasting, demand planning, pricing analytics, causality, promotions effect, AI…
",NA,Data+Scientist
28,"Bengaluru, Karnataka",newData Scientist - OrgSolutions,McKinsey & Company,NA,"
You will analyze and evaluate a wide range of data including data from human resources information systems, business metrics, survey assessments and publicly…
",4.3,Data+Scientist
29,"Bengaluru, Karnataka",newSenior Data Scientist,Great Learning,"₹12,00,000 a yearFull-timeFlexible shift +1","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7,Data+Scientist
30,"Kalyan Nagar, Bengaluru, Karnataka",Data Scientist,Client of Infra-Tech Consultants,"₹10,00,000 - ₹12,00,000 a yearDay shift","
Experience manipulating data to build features, perform analysis etc.
The role includes building models, data analysis and interpretation, and applying known…
",NA,Data+Scientist
31,"Bengaluru, Karnataka",newData Scientist I/II,Philips,NA,"
Experience in statistical modelling, machine learning, data mining, unstructured data analytics and natural language processing.
",4.0,Data+Scientist
